epoch,loss,learning_rate,accuracy,val_accuracy,val_loss
0,0.2593633532524109,0.0010000000474974513,0.9141644835472107,0.9934725761413574,0.030844449996948242
1,0.15465201437473297,0.0010000000474974513,0.9474543333053589,0.9934725761413574,0.022891463711857796
2,0.1082557812333107,0.0010000000474974513,0.9634464979171753,0.9934725761413574,0.02620861679315567
3,0.09321644902229309,0.0010000000474974513,0.9693211317062378,0.997389018535614,0.009887485764920712
4,0.08032479882240295,0.0010000000474974513,0.9706266522407532,0.9960835576057434,0.009661885909736156
5,0.07621263712644577,0.0010000000474974513,0.9765012860298157,0.9947780966758728,0.009140029549598694
6,0.07947918772697449,0.0010000000474974513,0.9729112386703491,0.9960835576057434,0.011151826940476894
7,0.06281368434429169,0.0010000000474974513,0.977480411529541,0.9921671152114868,0.01582718826830387
8,0.051403388381004333,0.00020000000949949026,0.9817232489585876,0.9960835576057434,0.01512195449322462
9,0.03208818659186363,0.00020000000949949026,0.9875978827476501,0.9947780966758728,0.011082173325121403
10,0.22343438863754272,9.999999747378752e-06,0.9275456666946411,0.997389018535614,0.006476609036326408
11,0.147169291973114,9.999999747378752e-06,0.9500652551651001,0.9986945390701294,0.007073026616126299
12,0.1110403761267662,9.999999747378752e-06,0.9582245349884033,0.9986945390701294,0.00668849004432559
13,0.1207456961274147,1.9999999949504854e-06,0.9552872180938721,0.9986945390701294,0.006337041966617107
14,0.1063990369439125,1.9999999949504854e-06,0.9618146419525146,0.9986945390701294,0.006229029502719641
15,0.09805040806531906,1.9999999949504854e-06,0.9654046893119812,0.9986945390701294,0.006290300749242306
16,0.10134625434875488,1.9999999949504854e-06,0.9663838148117065,0.9986945390701294,0.006365313660353422
17,0.09264355897903442,4.0000000467443897e-07,0.9689947962760925,0.9986945390701294,0.0063997372053563595
18,0.10841292887926102,4.0000000467443897e-07,0.9621409773826599,0.9986945390701294,0.006542085204273462
19,0.10655511915683746,1.0000000116860974e-07,0.9637728333473206,0.9986945390701294,0.006727002561092377
