epoch,val_accuracy,learning_rate,val_loss,loss,accuracy
0,0.9804177284240723,0.0010000000474974513,0.05471028387546539,0.5537466406822205,0.8860965967178345
1,0.9895561337471008,0.0010000000474974513,0.036101847887039185,0.0892820730805397,0.9693211317062378
2,0.9960835576057434,0.0010000000474974513,0.012697834521532059,0.03910171240568161,0.9889034032821655
3,0.997389018535614,0.0010000000474974513,0.0054352120496332645,0.02252582460641861,0.9924934506416321
4,0.997389018535614,0.0010000000474974513,0.006420416757464409,0.017263196408748627,0.9937989711761475
5,0.9960835576057434,0.0010000000474974513,0.008132154121994972,0.010490493848919868,0.9960835576057434
6,0.9986945390701294,0.00020000000949949026,0.0035154942888766527,0.006423177197575569,0.9986945390701294
7,0.9986945390701294,0.00020000000949949026,0.0028027852531522512,0.006263619754463434,0.997715413570404
8,0.9986945390701294,0.00020000000949949026,0.002858409658074379,0.0037270341999828815,0.9993472695350647
9,0.9986945390701294,0.00020000000949949026,0.005074032116681337,0.0042684804648160934,0.9986945390701294
10,0.9934725761413574,9.999999747378752e-06,0.014121728017926216,0.008469238877296448,0.9964098930358887
11,0.9986945390701294,9.999999747378752e-06,0.0030291040893644094,0.012779967859387398,0.9970626831054688
12,0.9986945390701294,1.9999999949504854e-06,0.0017956619849428535,0.004048225004225969,0.9986945390701294
13,0.9986945390701294,1.9999999949504854e-06,0.0015398403629660606,0.0014100734842941165,0.99967360496521
14,0.9986945390701294,1.9999999949504854e-06,0.0019535974133759737,0.0009567382512614131,1.0
15,0.9986945390701294,1.9999999949504854e-06,0.002737295115366578,0.0011864451225847006,0.99967360496521
16,0.9986945390701294,4.0000000467443897e-07,0.002287098439410329,0.0014249732485041022,0.99967360496521
17,0.9986945390701294,4.0000000467443897e-07,0.0019150357693433762,0.0012675273464992642,0.99967360496521
18,0.9986945390701294,1.0000000116860974e-07,0.0019706198945641518,0.0008792097796685994,1.0
