epoch,val_accuracy,learning_rate,val_loss,loss,accuracy
0,0.9464752078056335,0.0010000000474974513,0.16476258635520935,0.708391547203064,0.8315926790237427
1,0.9856396913528442,0.0010000000474974513,0.03778839856386185,0.2020564079284668,0.9288511872291565
2,0.9908615946769714,0.0010000000474974513,0.03273221477866173,0.1493278443813324,0.9471279382705688
3,0.9856396913528442,0.0010000000474974513,0.03135896474123001,0.1118737980723381,0.9588772654533386
4,0.9934725761413574,0.0010000000474974513,0.01376955397427082,0.10107412189245224,0.9631201028823853
5,0.9960835576057434,0.0010000000474974513,0.011650670319795609,0.09453263133764267,0.9680156707763672
6,1.0,0.0010000000474974513,0.0033869247417896986,0.08914176374673843,0.9673629403114319
7,0.9986945390701294,0.0010000000474974513,0.004843284375965595,0.08240305632352829,0.9729112386703491
8,0.9947780966758728,0.0010000000474974513,0.011730032041668892,0.07907181233167648,0.9719321131706238
9,0.997389018535614,0.00020000000949949026,0.0055611045099794865,0.05438188090920448,0.9791122674942017
10,0.9986945390701294,9.999999747378752e-06,0.009975927881896496,0.07310451567173004,0.9751958250999451
11,0.997389018535614,9.999999747378752e-06,0.011600236408412457,0.0340910367667675,0.9895561337471008
12,0.997389018535614,1.9999999949504854e-06,0.011328130960464478,0.024464303627610207,0.9898825287818909
13,0.997389018535614,1.9999999949504854e-06,0.008203274570405483,0.0292892474681139,0.9898825287818909
14,0.997389018535614,4.0000000467443897e-07,0.009376085363328457,0.023552052676677704,0.9928198456764221
