epoch,val_accuracy,learning_rate,val_loss,accuracy,loss
0,0.9947780966758728,0.0010000000474974513,0.01550118625164032,0.9317885041236877,0.20680762827396393
1,1.0,0.0010000000474974513,0.005212811753153801,0.9693211317062378,0.08413812518119812
2,1.0,0.0010000000474974513,0.0011552124051377177,0.9804177284240723,0.06360985338687897
3,0.9986945390701294,0.0010000000474974513,0.0038838214240968227,0.9813968539237976,0.0565897673368454
4,0.9986945390701294,0.0010000000474974513,0.003993239253759384,0.9875978827476501,0.033381834626197815
5,1.0,0.00020000000949949026,0.001916084554977715,0.9908615946769714,0.025307204574346542
6,1.0,0.00020000000949949026,0.002640801016241312,0.9928198456764221,0.023413386195898056
7,1.0,4.0000002627493814e-05,0.0023568274918943644,0.9941253066062927,0.019595496356487274
8,1.0,9.999999747378752e-06,0.007999677211046219,0.937663197517395,0.20534174144268036
9,1.0,9.999999747378752e-06,0.020255740731954575,0.9644255638122559,0.13461525738239288
10,0.9986945390701294,9.999999747378752e-06,0.0268405769020319,0.9676892757415771,0.11420843750238419
11,0.9986945390701294,1.9999999949504854e-06,0.029214156791567802,0.9722585082054138,0.10388623923063278
12,0.997389018535614,1.9999999949504854e-06,0.029058344662189484,0.9719321131706238,0.10661342740058899
13,0.997389018535614,4.0000000467443897e-07,0.02859208732843399,0.977480411529541,0.09351925551891327
