epoch,accuracy,learning_rate,val_loss,loss,val_accuracy
0,0.8962141275405884,0.0010000000474974513,0.018572857603430748,0.31748008728027344,0.9960835576057434
1,0.954960823059082,0.0010000000474974513,0.03103228658437729,0.14206288754940033,0.9908615946769714
2,0.9634464979171753,0.0010000000474974513,0.004780125338584185,0.11240658164024353,1.0
3,0.9751958250999451,0.0010000000474974513,0.0033083476591855288,0.07252856343984604,1.0
4,0.9676892757415771,0.0010000000474974513,0.012133132666349411,0.08366226404905319,0.9934725761413574
5,0.9742166996002197,0.0010000000474974513,0.010419758968055248,0.07701309025287628,0.997389018535614
6,0.9895561337471008,0.00020000000949949026,0.007689239457249641,0.036736443638801575,0.9960835576057434
7,0.9889034032821655,0.00020000000949949026,0.0033286940306425095,0.03197124972939491,0.9986945390701294
8,0.9921671152114868,4.0000002627493814e-05,0.0028654441703110933,0.026111498475074768,0.9986945390701294
9,0.9905352592468262,4.0000002627493814e-05,0.002648715628311038,0.026100600138306618,0.9986945390701294
10,0.9892297387123108,9.999999747378752e-06,0.0022477065213024616,0.03703293576836586,1.0
11,0.9911879897117615,9.999999747378752e-06,0.0017819518689066172,0.03130992501974106,1.0
12,0.9931462407112122,9.999999747378752e-06,0.002983582904562354,0.025273527950048447,1.0
13,0.9928198456764221,9.999999747378752e-06,0.0030748997814953327,0.022434182465076447,1.0
14,0.9944517016410828,1.9999999949504854e-06,0.0026961592957377434,0.018849002197384834,1.0
15,0.9970626831054688,1.9999999949504854e-06,0.0026199661660939455,0.014525213278830051,1.0
16,0.9957571625709534,4.0000000467443897e-07,0.002514378633350134,0.016234008595347404,1.0
